timestamp,run_id,mode,zone_temp_c_SPACE1-1,zone_temp_c_SPACE2-1,zone_temp_c_SPACE3-1,zone_temp_c_SPACE4-1,zone_temp_c_SPACE5-1,zone_occupant_count_SPACE1-1,zone_occupant_count_SPACE2-1,zone_occupant_count_SPACE3-1,zone_occupant_count_SPACE4-1,zone_occupant_count_SPACE5-1,outdoor_temp_c,heating_setpoint_c,cooling_setpoint_c,hvac_electricity_interval_kwh,hvac_electricity_cumulative_kwh,hvac_gas_interval_kwh,hvac_gas_cumulative_kwh
1986-01-01T00:15:00,extended_january,baseline,18.00005069313227,17.999636458275877,18.00053582321405,18.000332414971446,19.21535888179484,0.0,0.0,0.0,0.0,0.0,-4.324999999999999,18.0,27.0,0.09183615471624539,0.09183615471624539,0.3137010863543225,0.3137010863543225
1986-01-01T00:30:00,extended_january,baseline,18.00028596009076,17.999896128965318,17.999717888827444,18.001145013210575,19.15459619889903,0.0,0.0,0.0,0.0,0.0,-6.949999999999999,18.0,27.0,0.09183615471624539,0.18367230943249077,0.46218742667347695,0.7758885130277995
1986-01-01T00:45:00,extended_january,baseline,17.999766679767898,18.00089569906179,18.00062007667359,18.001354295874812,19.093035416692025,0.0,0.0,0.0,0.0,0.0,-9.575,18.0,27.0,0.09183615471624539,0.27550846414873614,0.6321391962354584,1.408027709263258
1986-01-01T01:00:00,extended_january,baseline,18.000353953226423,18.000399167690883,18.000016205112146,17.999793757909053,19.03154876292942,0.0,0.0,0.0,0.0,0.0,-12.2,18.0,27.0,0.09183615471624539,0.36734461886498154,0.8123576337222712,2.220385342985529
1986-01-01T01:15:00,extended_january,baseline,17.99956347757306,18.00058167516212,18.00068421949822,17.999039189648528,18.981825941846477,0.0,0.0,0.0,0.0,0.0,-12.075,18.0,27.0,0.09183615471624539,0.45918077358122694,0.8693295689473275,3.0897149119328566
1986-01-01T01:30:00,extended_january,baseline,17.9991389052608,18.000077278566362,17.99961202128944,17.999934274342866,18.941046337298935,0.0,0.0,0.0,0.0,0.0,-11.95,18.0,27.0,0.09183615471624539,0.5510169282974723,0.915801755700888,4.005516667633745
1986-01-01T01:45:00,extended_january,baseline,17.999964798222006,18.001446615915455,17.999739347252326,18.00165565505192,18.90407799890478,0.0,0.0,0.0,0.0,0.0,-11.825,18.0,27.0,0.09183615471624539,0.6428530830137177,0.9607254003797727,4.966242068013518
1986-01-01T02:00:00,extended_january,baseline,18.000186141439205,18.000262097786155,17.99984311182648,18.001920399825423,18.86869746953716,0.0,0.0,0.0,0.0,0.0,-11.7,18.0,27.0,0.09183615471624539,0.7346892377299631,0.9963866556139362,5.9626287236274536
1986-01-01T02:15:00,extended_january,baseline,17.999836170978032,18.000176514897596,17.999249468891033,17.999826020100226,18.839714428690876,0.0,0.0,0.0,0.0,0.0,-11.549999999999999,18.0,27.0,0.09183615471624539,0.8265253924462085,1.017003143706564,6.979631867334017
1986-01-01T02:30:00,extended_january,baseline,18.000716584167286,18.00057960142469,17.999751905631438,18.000148834229968,18.815821437218975,0.0,0.0,0.0,0.0,0.0,-11.399999999999999,18.0,27.0,0.09183615471624539,0.9183615471624539,1.0385420869832824,8.0181739543173
